Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Man,46,57,53,71,69,55,79,79,69,59,67,70,33,73,68,81,80,35,59,52,38,59,71,61,58,59,58,58.33,2,3,4,2,4,3,3
Woman,58,66,12,45,8,20,74,18,83,100,70,68,19,63,8,55,51,2,NA,39,0,39,46,0,100,100,75,91.67,5,3,3,1,5,1,3
Man,51,0,0,0,0,0,0,0,0,100,100,100,85,71,77,82,NA,86,66,NA,88,NA,NA,NA,39,75,56,56.67,1,1,1,1,1,1,1
Woman,46,81,15,80,20,21,60,15,69,38,82,39,39,84,15,49,62,16,17,10,5,6,27,7,50,41,60,50.33,3,2,4,2,4,3,4
Man,36,69,16,64,46,67,64,54,58,62,63,59,55,67,70,71,73,69,67,94,81,83,87,75,79,83,67,76.33,3,3,4,4,4,4,3
Man,58,100,100,98,100,98,100,100,100,100,100,100,100,100,100,96,100,100,99,100,99,100,100,100,100,100,99,99.67,3,3,3,3,3,3,2
Man,19,30,6,19,13,20,3,25,32,28,42,59,56,29,65,36,7,27,50,26,18,49,58,43,11,18,30,19.67,2,3,3,2,3,3,2
Woman,31,50,0,50,70,50,50,100,70,100,50,50,50,50,100,50,50,0,100,100,100,100,50,50,0,0,0,0.00,1,3,1,4,3,4,2
Man,23,69,26,80,20,91,90,52,22,86,69,53,68,67,38,80,92,44,13,78,91,41,15,54,82,90,90,87.33,4,2,4,3,3,4,4
Woman,44,52,7,43,89,50,100,94,100,72,95,14,72,6,12,10,79,9,100,88,86,93,87,100,18,19,7,14.67,2,4,1,5,2,4,2
Woman,54,60,40,100,100,69,70,81,100,39,65,75,74,77,60,100,100,66,2,81,45,100,83,2,82,2,55,46.33,3,2,4,3,4,2,3
Woman,46,26,22,31,58,44,54,51,39,38,42,41,33,40,33,30,31,17,33,32,37,40,39,44,26,38,47,37.00,2,3,3,3,2,4,2
Woman,23,18,69,16,58,40,44,72,34,40,43,68,34,67,53,85,46,62,15,15,27,23,39,34,28,67,31,42.00,3,3,2,4,3,2,2
Man,18,50,0,NA,18,42,72,42,36,0,56,19,24,42,NA,NA,NA,0,NA,7,9,15,20,13,15,15,21,17.00,3,4,5,4,4,2,2
Woman,55,61,79,77,54,89,65,97,81,100,64,30,87,32,93,46,22,29,74,86,86,73,32,68,56,39,34,43.00,2,4,1,4,2,4,2
Woman,34,6,100,50,100,100,50,100,50,79,50,30,100,0,100,10,50,100,100,100,100,100,100,100,50,1,10,20.33,1,5,1,5,1,5,2
Woman,58,100,100,100,23,8,90,8,67,87,59,13,14,66,10,4,71,26,6,3,2,10,2,2,37,2,3,14.00,2,1,4,3,2,2,5
Man,47,86,85,89,75,85,89,87,89,87,84,91,89,87,88,92,88,92,85,88,91,94,90,91,90,90,92,90.67,3,5,4,3,4,4,5
Woman,31,61,14,100,97,92,26,93,83,65,42,22,93,38,47,16,85,25,22,42,45,81,42,50,51,52,61,54.67,4,3,2,3,3,4,4
Woman,23,76,18,100,36,3,99,24,31,56,63,73,82,87,92,94,96,97,99,38,54,16,62,58,15,99,55,56.33,3,4,2,3,4,2,1
Woman,33,50,0,70,5,51,49,10,80,80,91,10,71,70,20,4,80,0,20,60,10,30,9,30,50,19,61,43.33,2,4,2,3,4,2,3
Woman,45,86,7,34,14,2,9,50,84,5,53,68,30,60,50,73,79,48,10,54,56,87,29,21,10,9,11,10.00,2,3,1,2,4,3,4
Man,18,72,67,85,63,79,67,80,65,72,84,77,75,81,72,79,74,64,68,72,70,74,74,74,67,75,72,71.33,2,3,3,2,3,4,3
Woman,36,60,0,50,70,70,40,70,80,80,70,20,70,60,70,20,60,10,20,70,50,30,40,20,60,50,60,56.67,3,3,3,3,3,2,4
Woman,57,78,15,19,5,8,100,40,34,27,27,22,17,54,3,74,74,5,29,5,7,8,7,8,47,47,56,50.00,3,1,4,1,3,3,3
Woman,20,70,33,87,31,49,25,74,59,67,28,100,66,26,55,35,21,92,62,80,100,100,74,31,27,3,4,11.33,1,4,3,3,4,2,4
Man,50,83,97,80,93,88,85,90,77,83,77,84,77,83,73,78,82,76,82,71,81,79,82,78,56,37,47,46.67,3,2,4,3,3,3,2
Man,61,50,70,100,80,90,60,100,80,100,80,5,70,10,80,5,10,50,90,100,95,100,100,95,5,10,5,6.67,1,5,1,5,1,2,4
Woman,56,61,92,82,100,96,63,86,9,74,22,55,49,50,95,7,9,75,68,97,100,100,79,100,12,12,13,12.33,2,3,2,5,2,4,4
Woman,37,41,25,38,21,18,19,18,78,72,34,77,56,50,36,47,59,48,46,19,16,67,15,21,38,17,23,26.00,3,3,3,3,3,2,3
Man,68,50,50,50,50,60,60,40,50,30,50,60,40,50,40,50,50,20,50,50,50,20,15,50,50,80,50,60.00,2,2,2,2,2,2,2
Man,32,91,25,66,76,31,82,14,64,60,86,88,27,83,87,71,52,69,18,6,6,20,5,0,62,53,72,62.33,4,1,4,1,5,1,5
Man,25,55,35,29,13,12,13,12,17,3,1,12,10,22,42,13,17,23,5,31,14,14,9,12,19,23,32,24.67,5,5,3,2,1,1,2
Man,45,62,28,57,51,57,42,62,65,40,75,44,71,35,40,51,63,19,22,23,28,35,21,37,27,55,49,43.67,3,3,2,3,1,3,5
Man,75,40,53,40,32,34,52,42,33,43,31,48,42,52,57,69,23,17,46,47,35,50,52,19,89,23,50,54.00,1,3,4,5,3,5,4
Man,23,75,20,40,30,68,80,20,79,54,29,71,60,62,10,44,53,10,47,5,13,26,8,4,72,79,60,70.33,4,5,4,4,3,5,4
Man,35,51,98,64,60,72,24,75,50,48,56,49,98,36,54,19,48,100,38,93,80,86,100,42,42,33,28,34.33,2,3,4,5,3,4,4
Man,22,100,22,76,31,12,40,23,82,50,84,61,6,70,10,53,45,5,4,2,0,3,7,2,100,100,84,94.67,5,1,4,1,4,1,5
Woman,31,70,11,77,0,0,100,25,100,15,86,100,10,63,41,100,100,17,7,11,5,26,35,4,78,80,65,74.33,4,1,5,1,5,1,5
Woman,39,90,0,87,4,4,9,83,90,91,93,82,87,92,94,89,99,0,85,95,93,97,93,96,55,5,11,23.67,3,3,3,3,3,3,3
Woman,70,59,3,48,1,1,71,1,50,46,47,41,2,61,2,54,40,1,2,0,0,0,0,0,52,41,56,49.67,5,1,4,1,3,2,3
Woman,37,80,60,80,70,30,50,50,70,70,70,60,40,50,30,30,60,50,20,10,10,20,10,10,69,40,59,56.00,3,1,4,2,4,1,3
Man,40,70,75,49,54,84,71,83,100,100,56,42,91,16,100,100,30,46,48,67,58,65,72,50,67,77,71,71.67,4,4,3,3,4,4,3
Man,24,19,27,35,26,37,41,36,40,45,27,39,21,33,28,41,29,19,32,22,45,19,21,35,21,1,1,7.67,2,3,3,2,3,4,3
Man,62,34,1,90,30,30,22,59,62,53,52,62,20,41,13,54,45,14,27,38,41,14,15,76,91,71,81,81.00,2,4,4,5,4,5,2
Man,32,79,72,61,81,46,80,19,91,70,70,35,60,34,67,45,77,48,71,87,86,63,44,63,86,72,69,75.67,2,4,2,2,4,3,2
Man,29,68,71,75,57,52,59,66,55,49,55,64,64,69,70,62,65,64,63,54,51,53,54,61,53,52,49,51.33,5,5,5,5,5,5,5
Woman,60,80,0,90,100,50,0,100,50,100,50,0,20,0,90,100,10,90,0,100,80,70,80,100,0,0,0,0.00,1,3,3,4,3,5,3
Woman,32,51,62,82,69,72,64,75,64,65,73,73,36,58,88,23,58,13,60,41,69,100,32,58,63,26,40,43.00,2,3,4,5,5,5,5
Man,28,29,NA,30,43,32,12,22,35,49,99,35,24,43,40,37,43,NA,44,10,13,13,12,18,99,44,58,67.00,3,3,3,3,3,3,3
Man,32,83,6,80,2,8,100,5,100,12,100,71,10,68,96,100,78,19,11,9,11,42,38,26,100,55,59,71.33,3,3,3,4,3,4,3
Woman,41,100,100,77,90,15,49,46,100,100,78,70,80,23,57,71,42,57,56,76,94,100,100,93,75,89,75,79.67,4,5,2,3,3,5,3
Woman,43,88,88,100,61,13,77,26,48,47,59,88,32,46,54,48,83,0,40,16,0,2,3,3,59,70,85,71.33,2,3,3,3,3,3,3
Man,25,52,51,85,54,35,36,65,55,65,52,56,49,65,39,60,58,32,52,40,51,21,27,19,38,42,73,51.00,3,3,3,3,4,2,3
Woman,29,100,0,80,80,80,30,90,70,20,30,50,50,90,80,41,30,50,50,20,50,20,10,20,50,90,90,76.67,3,4,2,3,3,3,3
Woman,38,0,NA,7,0,0,0,0,4,0,43,9,9,8,0,8,17,0,NA,3,0,0,0,0,20,16,55,30.33,2,4,2,3,4,3,4
Woman,22,28,18,40,29,30,47,47,19,61,66,35,45,29,29,37,34,39,53,31,28,41,20,54,15,37,27,26.33,3,3,5,5,4,2,4
Man,72,65,17,34,9,9,100,9,80,91,90,87,15,82,17,28,90,65,7,0,0,0,0,0,63,63,85,70.33,2,1,5,1,5,1,4
Woman,43,61,7,76,4,0,88,85,94,100,57,7,10,84,85,66,75,5,39,29,23,100,67,4,75,75,83,77.67,4,1,4,3,5,1,4
Man,59,70,2,84,1,1,91,1,72,5,80,81,1,81,1,40,82,1,1,1,1,12,9,8,72,70,70,70.67,2,1,4,1,3,1,4
Woman,NA,36,83,69,100,77,48,92,51,71,61,62,30,79,61,65,32,79,54,100,100,77,60,38,21,36,24,27.00,1,4,2,5,4,5,5
Woman,43,50,10,40,50,40,65,41,51,100,33,36,26,64,33,31,40,57,29,100,96,99,88,72,34,38,36,36.00,2,3,3,3,3,3,3
Man,27,62,33,71,76,64,51,74,54,97,44,79,68,63,53,37,67,73,48,100,100,95,93,99,15,31,10,18.67,1,4,3,3,1,1,1
Woman,35,66,3,30,57,15,50,22,42,27,20,35,82,68,85,31,51,45,39,100,93,91,100,98,28,18,15,20.33,2,5,1,4,2,2,4
Woman,48,65,3,5,2,4,42,2,21,25,27,19,2,23,7,15,11,3,9,0,13,19,12,12,17,16,20,17.67,1,5,2,3,4,3,4
Man,52,69,1,100,0,60,77,0,100,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,100,0,58,52.67,4,1,1,1,3,4,3
Woman,26,100,0,100,51,5,100,40,100,28,57,70,10,100,40,100,100,5,5,28,53,86,2,82,75,94,82,83.67,2,5,3,5,3,4,3
Man,61,1,61,100,100,100,30,100,29,82,82,8,100,1,100,19,39,100,61,100,72,40,73,51,40,10,11,20.33,1,1,3,4,4,4,3
Woman,37,95,58,34,29,84,82,18,71,85,70,78,77,91,86,80,89,25,67,55,70,100,51,76,73,61,78,70.67,3,5,5,4,3,4,2
Woman,30,60,30,63,11,10,76,52,96,92,100,100,19,51,45,70,85,16,13,66,51,94,34,55,76,64,63,67.67,3,4,4,4,4,3,3
Man,40,71,100,100,81,81,100,100,91,70,59,30,70,20,81,70,80,100,100,9,20,19,19,99,72,80,60,70.67,2,3,3,3,2,4,5
Woman,58,70,51,89,75,50,87,84,56,91,79,86,21,81,28,82,84,27,47,85,81,78,82,34,79,55,59,64.33,3,5,2,3,3,2,4
Woman,42,45,15,47,22,40,52,44,71,43,78,75,67,71,57,77,75,73,14,12,15,43,39,73,58,74,65,65.67,3,3,3,1,5,3,4
Woman,64,91,0,62,NA,NA,91,NA,100,NA,100,99,NA,100,NA,82,100,NA,NA,1,NA,NA,NA,NA,99,100,100,99.67,5,1,3,1,4,2,5
Man,47,57,19,73,38,38,77,31,72,52,58,43,22,80,80,100,90,6,47,51,52,70,32,81,50,31,39,40.00,1,3,3,4,5,3,2
Man,29,91,77,99,41,88,100,71,100,100,87,68,35,100,90,86,83,11,61,64,94,100,70,23,100,67,74,80.33,4,3,4,1,5,2,4
Woman,27,80,0,72,94,71,16,83,65,40,65,6,53,24,28,63,50,86,94,60,60,41,40,20,50,20,22,30.67,2,2,3,2,4,3,2
Man,40,31,32,53,40,38,40,39,38,38,43,41,41,43,45,46,38,36,40,22,22,21,24,24,100,87,52,79.67,2,1,1,1,3,3,3
Woman,65,58,30,61,28,70,72,51,81,83,42,61,30,72,38,52,58,64,72,NA,NA,72,52,28,NA,NA,49,49.00,3,1,2,3,3,4,2
Woman,32,100,10,100,50,82,100,60,100,0,73,100,50,100,54,0,100,6,7,100,100,100,100,100,100,63,61,74.67,2,4,2,5,1,5,1
Woman,74,50,1,60,1,20,60,1,80,1,40,10,1,70,1,80,80,1,0,1,1,1,1,1,70,30,50,50.00,2,1,4,1,5,2,3
Woman,31,100,90,100,91,91,100,100,91,93,100,94,100,100,93,91,99,100,100,92,100,96,95,100,93,98,100,97.00,3,4,4,5,5,5,5
Woman,55,60,1,1,10,60,80,40,80,60,60,50,20,80,2,80,90,2,1,5,40,40,15,5,80,70,70,73.33,4,2,4,1,5,3,4
Man,20,56,35,69,78,70,30,100,31,100,0,20,0,0,20,49,40,80,52,100,70,50,50,30,59,72,76,69.00,3,3,2,4,2,4,3
Woman,30,61,11,48,70,51,72,59,75,50,70,61,25,55,31,84,80,19,18,18,20,49,33,9,75,68,72,71.67,4,3,4,2,3,2,2
Man,45,60,50,50,60,60,50,70,80,60,80,63,85,65,40,75,75,83,57,80,66,67,12,23,60,67,53,60.00,2,3,4,4,2,4,3
Man,34,65,50,50,85,15,43,87,46,75,24,24,90,51,89,51,47,80,100,60,97,93,93,88,31,40,36,35.67,2,4,1,4,2,3,2
Man,40,39,35,56,72,67,70,66,72,74,60,43,35,33,15,22,25,24,19,80,91,97,93,78,29,38,48,38.33,1,5,3,5,2,3,3
Woman,34,38,38,60,78,39,53,85,43,53,24,41,70,65,97,63,63,54,66,49,80,84,32,48,42,34,48,41.33,1,5,3,3,5,4,3
Woman,34,100,100,100,100,63,51,44,47,81,61,94,45,18,46,22,77,21,54,41,75,26,31,66,92,35,81,69.33,3,5,5,4,3,3,2
Woman,38,11,0,38,7,42,91,87,79,46,43,45,33,94,13,57,98,6,16,35,22,15,8,20,71,31,35,45.67,2,3,2,3,3,3,3
Woman,25,89,1,100,82,50,25,50,100,61,81,51,0,89,12,93,83,1,10,19,7,39,15,2,73,73,86,77.33,3,2,4,1,5,2,4
Woman,48,75,0,100,100,42,100,100,100,74,56,35,87,29,100,80,100,100,100,100,100,78,53,100,10,9,9,9.33,1,1,5,3,2,5,2
Man,78,62,32,32,24,31,77,21,68,62,73,56,20,62,23,31,71,13,13,5,5,10,6,17,82,88,90,86.67,2,1,5,1,4,1,5
Man,40,60,1,71,63,19,11,85,78,61,36,10,83,48,91,11,15,84,68,60,74,77,36,81,17,14,17,16.00,2,3,3,4,2,3,4
Woman,43,15,0,58,74,0,51,50,43,66,50,0,79,0,70,0,50,0,78,90,67,75,29,0,10,16,0,8.67,2,3,3,2,3,4,2
Woman,43,75,51,60,10,55,75,67,62,68,74,74,72,67,11,46,36,39,38,12,18,29,25,48,65,38,33,45.33,3,2,4,3,4,3,3
Man,42,55,52,37,41,29,68,46,54,55,74,48,34,30,66,37,29,30,36,91,60,50,53,43,47,34,41,40.67,2,3,2,3,4,2,1
Man,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79,1,0,3,1,1,1,1.00,1,3,3,3,3,3,3
Man,54,60,60,81,50,19,91,71,71,79,71,70,60,70,39,72,70,19,81,19,19,72,50,9,70,81,82,77.67,3,4,3,4,4,4,3
Man,37,80,0,60,30,9,100,20,80,100,61,38,26,31,48,70,82,100,28,7,80,86,5,7,10,10,83,34.33,3,3,3,2,4,3,3
Man,31,50,20,80,70,80,30,60,50,50,70,40,30,30,40,50,40,70,80,90,90,100,80,100,30,30,10,23.33,2,4,2,3,3,4,4
Woman,51,60,7,5,78,11,3,89,3,73,6,5,81,20,86,82,22,94,96,34,22,94,96,93,14,8,2,8.00,1,5,1,3,1,4,3
Man,49,54,0,7,86,79,21,85,29,77,37,31,31,34,83,40,34,55,40,100,95,100,44,83,52,48,40,46.67,2,4,3,3,2,4,3
Woman,73,68,60,51,32,37,61,57,55,39,69,78,46,62,53,56,57,71,57,39,38,46,22,30,81,70,62,71.00,2,3,2,3,2,3,3
Man,43,81,11,58,52,56,72,34,59,54,60,52,43,52,53,55,62,8,28,21,46,55,6,19,51,42,51,48.00,3,3,3,3,3,3,1
Woman,37,100,7,89,72,0,20,84,60,70,68,100,41,65,52,100,70,73,60,61,65,68,63,100,57,58,63,59.33,2,5,3,5,2,2,3
Woman,50,95,0,50,60,100,20,40,70,31,80,50,50,30,50,90,50,70,75,98,90,25,65,99,13,25,10,16.00,1,1,5,5,1,4,2
Woman,63,30,10,10,41,40,0,30,20,20,10,20,50,40,30,50,50,50,50,50,50,20,10,30,10,30,11,17.00,1,3,4,2,3,3,2
Man,45,40,0,0,60,10,70,0,60,70,30,20,70,20,40,30,50,70,0,30,60,80,10,60,50,60,50,53.33,3,4,4,4,3,3,2
Woman,68,49,1,50,55,52,1,62,53,70,71,44,47,54,20,45,44,1,41,6,7,8,7,5,13,3,10,8.67,2,3,3,3,3,3,3
Woman,46,62,50,62,25,60,87,57,57,14,54,34,76,32,48,68,38,37,65,53,28,66,35,64,38,56,48,47.33,3,3,4,3,2,1,2
Woman,41,50,0,60,20,80,15,80,50,15,20,20,50,30,60,80,60,25,40,25,26,20,10,10,25,0,20,15.00,2,2,4,1,5,4,2
Woman,51,80,5,74,9,44,85,16,50,15,36,36,58,35,53,42,92,44,55,13,9,32,18,15,52,34,50,45.33,3,3,3,3,3,3,3
Woman,51,100,0,100,0,0,100,0,100,0,100,100,0,100,0,100,100,0,0,0,0,0,0,0,100,100,100,100.00,5,1,5,1,5,1,5
Woman,37,54,23,52,24,100,34,26,37,100,42,13,25,22,67,22,29,40,100,100,60,68,38,100,7,8,14,9.67,1,5,1,4,2,4,1
Woman,56,80,0,100,0,0,100,60,100,100,100,100,0,90,0,100,100,100,0,100,100,100,100,0,100,100,100,100.00,3,3,3,3,4,3,3
Woman,50,75,79,75,27,24,81,17,83,19,84,79,16,82,22,80,91,17,16,9,12,14,8,17,73,50,78,67.00,2,1,4,1,4,2,4
Man,45,65,5,31,59,83,90,80,43,15,18,32,28,48,63,52,20,90,27,78,89,74,20,28,16,20,13,16.33,1,4,2,4,2,4,2
Man,22,90,62,13,100,100,79,0,100,70,70,100,80,100,0,30,90,100,100,6,4,3,100,5,100,70,100,90.00,5,3,4,1,4,1,3
Woman,59,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,100,0,0,0,0,0,0,1,99,0,100,66.33,3,1,5,1,5,1,3
Man,46,66,45,75,67,87,93,68,58,50,79,92,49,62,40,47,69,18,59,82,93,86,60,18,60,90,30,60.00,2,2,2,4,2,4,4
Woman,40,17,7,100,30,45,5,71,43,73,67,5,68,23,51,6,10,22,72,81,86,68,22,50,9,9,8,8.67,2,3,2,5,3,4,3
Woman,59,76,1,88,3,4,50,2,97,2,100,100,3,100,3,2,100,1,2,4,4,2,58,0,100,100,86,95.33,4,1,4,1,4,1,4
Woman,51,52,0,47,44,75,100,22,49,6,41,24,83,57,82,15,53,0,38,100,27,0,10,4,39,18,18,25.00,4,2,3,2,3,2,3
Woman,60,50,18,100,47,100,100,51,100,100,48,100,29,100,61,48,100,72,100,56,43,43,78,78,42,52,38,44.00,3,3,3,3,2,3,3
Woman,49,51,38,50,39,50,48,62,61,81,49,52,55,51,46,48,50,46,50,89,55,80,51,48,58,61,60,59.67,2,3,3,3,3,3,3
Man,51,3,45,48,84,99,2,79,8,24,2,2,100,3,72,2,51,88,77,87,65,57,43,100,2,2,2,2.00,1,3,2,5,1,3,2
Woman,65,39,0,46,7,3,81,0,88,49,46,51,0,46,0,60,66,0,0,0,0,0,3,0,66,71,82,73.00,3,2,4,2,5,2,4
Woman,31,90,88,70,21,10,100,100,100,100,91,50,80,100,50,50,50,90,50,0,30,70,70,20,19,0,39,19.33,1,4,3,3,4,3,3
Woman,47,70,0,61,100,100,0,100,100,100,0,NA,2,80,100,100,99,50,100,50,100,100,50,80,50,0,2,17.33,3,3,3,3,3,3,3
Man,68,79,48,59,38,27,69,71,80,81,68,60,39,63,49,71,86,28,26,17,20,40,35,0,49,50,63,54.00,3,3,4,1,5,1,3
Man,42,62,12,81,91,73,76,63,66,6,73,67,77,62,42,77,55,16,66,8,18,22,13,44,70,84,75,76.33,3,3,4,2,3,3,3
Woman,30,37,1,100,8,100,0,100,100,100,10,51,0,66,100,100,100,8,100,100,100,100,100,100,8,3,3,4.67,2,5,1,1,3,5,1
Woman,55,70,10,10,0,0,10,0,80,60,50,51,1,40,1,51,92,1,1,20,20,20,20,20,50,50,50,50.00,3,1,5,1,3,2,4
Woman,50,19,64,100,100,100,16,100,66,72,24,21,92,17,49,31,54,47,54,85,100,100,100,81,47,24,22,31.00,1,5,3,5,5,4,3
Woman,45,77,0,69,41,26,59,25,73,74,73,45,45,72,46,52,79,0,30,62,40,67,0,38,61,50,47,52.67,3,2,3,1,3,1,4
Man,56,71,0,62,2,91,70,10,80,67,55,45,44,55,11,54,65,44,33,10,11,12,22,9,73,72,72,72.33,4,1,4,1,5,5,5
Woman,62,76,52,70,37,48,67,38,84,84,67,72,29,71,16,87,65,30,49,45,44,67,13,35,45,32,31,36.00,2,2,3,2,4,3,4
Man,48,81,NA,6,NA,1,100,NA,100,2,100,100,NA,100,NA,100,100,NA,NA,0,NA,NA,NA,NA,100,100,100,100.00,5,1,5,1,5,1,5
Woman,58,100,50,5,50,30,80,49,100,80,100,50,50,11,100,14,100,49,100,49,100,10,3,79,5,10,10,8.33,2,2,4,4,4,3,3
Man,71,95,24,91,19,93,86,25,87,22,87,91,17,56,16,100,97,8,16,11,9,9,8,11,99,95,96,96.67,4,1,5,1,5,1,4
Woman,63,51,1,92,1,1,92,8,81,19,61,91,8,71,10,92,81,1,2,3,1,30,5,0,92,90,96,92.67,5,1,4,1,5,2,4
